Feature_ID,007_12_Desoxydiacetylpyxinol,004_Acetylportentol,008_12_Desoxypyxinol,011_Bourgeanic_acid,002_2_Hydroxy_4_6_dimethoxyacetophenone,012_Caperatic_acid
1057,,,,,,
1058,,,,,,
1060,,,,,,
1061,,,,,,
1062,,,,,,
1063,,,,,,
1064,,,,,,
1065,,,,,,
1066,,,,,,314.0855
1067,,,,,,
1068,,,,222.0887,,
1069,,,,,,268.2399
1070,,,,,,216.0993
1073,,,,,,
1074,,,,,,
1075,,,,,,268.2407
1076,,,,,,
1077,,,,,,
1078,,,,,,
1079,,,,,,
1080,,,,,,
1081,,,,,,
1082,,,,,,
1083,,,,,,
1084,,,,,,
1085,,,,,,
1086,,,,,,
1087,,,,,,
1088,,,,,,
1090,,,,,,
1091,,,,,,
1092,286.214,286.214,286.214,286.214,286.214,
1093,,,,,,
1094,,,,,,
1095,,,,,,
1096,,,,,,
1097,,,,,,
1098,,,,,,
1099,,,,314.0856,,314.0856
1231,,,,,,
1272,,518.1313,,518.1313,,518.1313
1273,,,,,,
1294,,,,,,
1329,,,,,,
1334,,,,,,
1339,,,,,,
1347,,,,154.1951,,
1351,,,,,,
1359,,,,,,
1397,,,,,,
1401,,,,,,
1445,,,,,,
1490,,,,124.9786,,
1508,162.0313,162.0313,162.0313,162.0313,162.0313,162.0313
1511,,,,,,
1591,,,,,,
1626,,,,,,
1646,,,,,,
1652,,,,,,
1653,,,,,,
1656,,,,,,
1668,,,,386.3017,,
1669,,,,386.3019,,
1670,,,,184.1454,,
1672,,,,,,
1673,,,,386.302,,
1674,,,,,,
1675,,,,,,
1676,,,,386.3019,,
1677,,,,,,
1678,,518.1319,,518.1319,,518.1319
1679,,,,386.3014,,
1681,,,,,,
1683,,,,,,
1684,,,,372.2872,,
1685,,,,386.3019,,
1687,,,,1202.8704,,
1689,,,,,,
1690,,,,,,
1691,,,,372.2874,,
1692,,,,372.2864,,
1695,,,,,,
1696,,,,386.3015,,
1697,,,,,,
1699,,,,,,
1702,,,,319.096,,
1704,,,,,,
1707,,,,184.1456,,
1708,272.9091,272.9091,272.9091,272.9091,272.9091,272.9091
1709,,,,,,
1710,,,,,,
1711,272.9101,272.9101,272.9101,272.9101,272.9101,272.9101
1712,,,,386.3008,,
1713,183.9784,183.9784,183.9784,183.9784,183.9784,
1714,,,,,,
1716,,,,,,
1717,,,,,,
1718,,,,1202.871,,
1719,,,,,,
1721,,,,,,
1722,,,,,,
1723,,,,,,
1727,,138.9806,,138.9806,,138.9806
1729,,,,,,
1730,,,,,,
1731,,,,,,
1736,254.9368,,254.9368,254.9368,254.9368,
1737,,,,,,
1742,,,,,,
1748,,,,,,
1749,140.9512,140.9512,140.9512,140.9512,140.9512,140.9512
1750,,,,328.2376,,
1752,,,,,,
1753,,,,218.0786,,
1755,,,,,,
1756,,,,,,
1757,,,,,,
1758,,,,,,
1759,,,,,,
1760,662.4468,662.4468,662.4468,662.4468,662.4468,662.4468
1761,,,,,,
1765,,,,340.2619,,
1766,,,,,,
1767,,,,,,
1771,,,,72.0116,,
1775,,,,,,
1776,,,,,,
1777,,,,,,
1781,,,,,,
1782,,,,124.9786,,
1783,,,,,,
1786,,,,,,
1788,,,,,,
1789,,,,228.2082,,
1790,,,,,,
1793,,,,,,
1794,,,,,,
1795,,,,,,
1796,,,,,,
1797,,,,124.9785,,
1798,,,,,,
1800,123.0796,,123.0796,,123.0796,123.0796
1801,,,,,,
1803,,,,,,
1804,,,,,,
1805,,,,,,
1808,,,,,,
1809,,,,,,
1810,,,,,,
1813,,,,,,
1814,,,,,,
1815,,,,,,
1817,,,,,,
1818,,,,,,
1820,,,,344.2557,,
1821,,,,,,
1822,,,,,,
1823,250.1775,250.1775,250.1775,250.1775,250.1775,250.1775
1824,,,,,,
1827,,,,,,
1829,,,,,,
1830,,,,,,
1831,,,,,,
1835,,,,,,
1839,,,,,,
1840,,,,,,
1843,,,,,,
1845,,,,,,
1849,,,,,,
1850,,,,,,
1851,,,,,,
1853,,,,124.9787,,
1854,388.1042,388.1042,388.1042,388.1042,388.1042,388.1042
1855,,,,,,
1856,,,,328.2379,,
1858,,,,,,
1861,,,,,,
1862,,,,684.1783,,684.1783
1863,,,,,,
1864,,,,,,
1865,,,,,,
1868,,,,344.2557,,
1869,,,,,,
1870,,,,,,
1871,,,,684.1796,,
1873,,,,,,
1874,757.2166,757.2166,757.2166,757.2166,757.2166,757.2166
1875,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1885,,,,,,
1886,,,,,,
1888,278.1513,278.1513,278.1513,278.1513,278.1513,278.1513
1890,,,,,,
1892,,,,536.1418,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1897,,,,129.0309,,
1898,,,,,,
1899,,,,,,
1900,,,,,,
1901,,,,220.1459,,
1902,,,,,,
1903,,,,157.9536,,
1905,,,,,,
1907,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,536.1419,,
1915,,,,,,
1916,,,,,,
1919,,,,,,
1923,250.1775,250.1775,250.1775,250.1775,250.1775,250.1775
1925,,,,,,
1926,,,,,,
1928,,,,,,
1929,,,,,,
1931,,,,,,
1932,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,220.1458,,
1938,,,,,,
1940,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,,,,
1950,,,,,,
1951,,,,129.0315,,
1953,,,,,,
1954,,,,220.1457,,
1955,,,,,,
1957,,,,,,
1960,,,,273.2662,,
1963,,,,,,
1964,834.1965,834.1965,834.1965,834.1965,834.1965,834.1965
1965,,,,,,
1966,,,,,,
1967,,,,72.0107,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,636.2968,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1989,,,,388.1041,,
1990,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,222.089,,
1997,,,,,,
1998,,,,228.2085,,
1999,,,,,,
2000,286.214,286.214,286.214,286.214,286.214,
2001,,,,,,
2002,,,,278.1515,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2007,,,,340.2609,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,314.3052,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,248.1983,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,314.3054,,
2026,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2037,,,,,,
2038,,,,,,
