row ID,row m/z,row retention time,POS_Cas11.mzXML Peak area,POS_Cas13.mzXML Peak area,POS_Cas24.mzXML Peak area,POS_Cas3.mzXML Peak area,POS_Cas4.mzXML Peak area,POS_Cas5.mzXML Peak area,POS_Cas6.mzXML Peak area,POS_Extrait2hexane.mzXML Peak area,POS_YSBlanc_MSMS.mzXML Peak area,POS_YSC4-512CCP6P_MSMS.mzXML Peak area,POS_YSC410MCP6P_MSMS.mzXML Peak area,POS_YSC511MCP6P_MSMS.mzXML Peak area,
30,336.3096288045247,28.51251388888889,1.1471901160675027E9,1.996467757937517E7,6.973375734062523E7,2.7499849037500042E7,2.317848667812496E7,3.0018704211249944E7,7.62157857493751E7,8.622437971687524E7,9524248.158750052,3.4927296001562566E7,3.2578392320625022E7,3.596590072343754E7,
31,279.12225952148435,10.033483333333333,1.635090102390123E9,2.284997720053122E7,0,0,0,0,8996753.581,0,0,1.6761221810106233E8,0,3.134989373390938E8,
32,341.2656529744466,28.50991666666667,1.053835738623127E9,1.9097367301875144E7,1.2963109285375E8,3.4892419253749974E7,3.899367527218746E7,2.940367521249996E7,7.047879682375017E7,9.928839419250019E7,2.4890822390625022E7,7.092102855312537E7,6.439710291375014E7,6.916174494187549E7,
33,209.08047040017883,39.13554166666667,3.062570237809424E8,1.9548040210874993E8,0,0,0,0,0,0,7.773466513799994E8,2.4546177314762497E9,0,0,
34,273.20557657877606,21.168472222222224,8.123039782800016E8,1.8724341271874886E7,0,0,0,3187096.196250114,2.1137287410000045E7,2.403026162375006E7,0,0,0,2.7304521333125126E7,
35,200.9717846877099,0.8100249999999999,3.730671478287505E7,6.78495196564375E7,3135824.202999995,6.5925957550124995E7,5.4484434553625025E7,8.9825255069516E8,8.718867841045936E8,1095990.8027343731,4.510917323515625E7,4.646335764187503E7,4.7903263573125005E7,4.774995778224998E7,
36,468.1167297363281,13.015486666666666,9.210262799176869E8,0,0,0,0,0,1.3082906917156253E7,1.9795930492484376E9,0,1.2744959442915006E9,2.151566278298186E9,0,
37,305.174077351888,20.981666666666666,7.000755833274988E8,0,0,0,0,8290338.392812397,3.561920969249995E7,3.820657920281261E7,0,6.161618691874988E7,0,1.3835486720775015E9,
38,338.3408889770508,36.28761111111112,1.4403188003562515E9,1.1942832740550005E9,2.3415517973974924E9,9.400171323481265E8,3.2606847629562557E8,6.42379596592499E8,6.062659875337489E8,4.279213252362502E8,3.065583406500077E7,1.0170521371774861E9,5.980345209575096E8,3.0607039242499415E7,
39,375.3039682153928,31.40229166666667,1.412893737125E9,2.0648176544125023E8,0,0,0,1.3000424229277357E8,6.4189614581250034E7,5.42856798520625E8,0,6.303633872093725E8,8.072156832250048E7,4.354334788375013E8,
40,228.23181215922037,27.705583333333326,7.739267095712494E8,7.699804983006259E8,1.5146490834006271E9,6.679020657031248E8,6.641094692150004E8,7.108838651050001E8,6.759823503999983E8,5.956414425274986E8,1.0087273307249995E8,5.321810433069966E9,2.6552934932824993E9,5.639562376141265E9,
41,295.1898716517857,19.410190476190476,7.985838220962487E8,3.662320970343761E7,0,0,0,2.374187014906249E7,5.044607821312499E7,5.744154323674995E8,0,1.8462717568125065E7,8.92239839597499E8,0,
42,462.16057165045487,21.951500000000003,6.513029070081238E8,6847364.920683622,0,0,0,0,0,0,0,0,0,0,
43,172.9768483657409,0.7896694444444443,3.136721370875005E7,6.8251091273875E7,1745756.4419374974,7.30225744095E7,6.0425543401625E7,9.352141161267573E8,9.404546315499839E8,5.4386270806937486E7,2928110.0804999927,1.1324252590500002E8,2749678.680000007,1.1311610284637496E8,
