Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,004_Acetylportentol
82,817.1593,476.564,160900.0,-1,82.0,0,neg_cossingleton,cossingleton,0,,NEG,147.0,34,,,,,,,,,,,,,,,,,,,,,895378.6426
83,239.0589,440.199,80200.0,-1,83.0,0,neg_cossingleton,cossingleton,0,,NEG,148.0,109,,,,,,,,,,,,,,,,,,,,,702384.2729999999
84,215.868,15.57,171100.0,1,84.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,150.0,68,,,,,,,,,,,,,,,,,,,,,300550.967
85,191.9453,16.481,170800.0,1,85.0,0,neg_cossingleton,cossingleton,0,,NEG,151.0,142,,,,,,,,,,,,,,,,,,,,,575561.3239
86,351.183,209.258,240800.0,-1,86.0,0,neg_adduct,adduct,0,[M-H]-,NEG,152.0,3,,,,,,,,,,,,,,,,,,,,,851488.4119
88,803.1961,439.993,240200.0,-1,88.0,0,neg_cossingleton,cossingleton,0,,NEG,154.0,109,,,,,,,,,,,,,,,,,,,,,444683.7489
90,671.1,420.672,229800.0,-1,90.0,0,neg_singleton,singleton,0,,NEG,156.0,-1,,,,,,,,,,,,,,,,,,,,,670064.662
91,697.1454,392.945,180400.0,-1,91.0,0,neg_singleton,singleton,0,,NEG,157.0,-1,,,,,,,,,,,,,,,,,,,,,389492.471
92,336.8594,1.751,107700.0,-1,92.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,158.0,30,,,,,,,,,,,,,,,,,,,,,916807.1339
93,165.04,501.754,75100.0,-1,93.0,0,neg_singleton,singleton,0,,NEG,159.0,-1,,,,,,,,,,,,,,,,,,,,,661067.0232
94,535.1351,400.717,165600.0,-1,94.0,0,neg_cossingleton,cossingleton,0,,NEG,161.0,47,,,,,,,,,,,,,,,,,,,,,362593.4156
95,230.9558,532.769,45300.0,-1,95.0,0,neg_singleton,singleton,0,,NEG,162.0,-1,,,,,,,,,,,,,,,,,,,,,958216.9044
96,381.174,381.466,160200.0,-1,96.0,0,neg_cossingleton,cossingleton,0,,NEG,164.0,28,,,,,,,,,,,,,,,,,,,,,496828.4424
97,611.1334,392.702,226100.0,-1,97.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,165.0,21,,,,,,,,,,,,,,,,,,,,,231296.255
98,244.961,20.394,236400.0,-1,98.0,0,neg_cossingleton,cossingleton,0,,NEG,168.0,123,,,,,,,,,,,,,,,,,,,,,155047.6986
99,951.2352,460.193,696200.0,-1,99.0,0,neg_cossingleton,cossingleton,0,,NEG,169.0,11,,,,,,,,,,,,,,,,,,,,,354865.4399
100,126.9036,16.918,1006300.0,1,100.0,0,neg_singleton,singleton,0,,NEG,170.0,-1,,,,,,,,,,,,,,,,,,,,,168957.6686
101,224.803,16.551,199800.0,1,101.0,0,neg_cossingleton,cossingleton,0,,NEG,171.0,131,,,,,,,,,,,,,,,,,,,,,156397.4846
102,195.0658,217.514,10192000.0,1,102.0,0,neg_cossingleton,cossingleton,0,,NEG,173.0,81,,,,,,,,,,,,,,,,,,,,,412779.2129
104,250.1446,294.442,165800.0,-1,104.0,0,neg_singleton,singleton,0,,NEG,175.0,-1,,,,,,,,,,,,,,,,,,,,,200608.1503
105,226.8007,16.549,129100.0,1,105.0,0,neg_cossingleton,cossingleton,0,,NEG,176.0,131,,,,,,,,,,,,,,,,,,,,,101431.0447
106,343.0829,214.845,277400.0,-1,106.0,0,neg_singleton,singleton,0,,NEG,178.0,-1,,,,,,,,,,,,,,,,,,,,,243156.4302
107,277.9363,19.778,92700.0,-1,107.0,0,neg_singleton,singleton,0,,NEG,179.0,-1,,,,,,,,,,,,,,,,,,,,,63245.29951
108,435.0822,275.707,216900.0,-1,108.0,0,neg_cossingleton,cossingleton,0,,NEG,180.0,47,,,,,,,,,,,,,,,,,,,,,115687.2187
109,243.0426,498.11,85700.0,1,109.0,0,neg_cossingleton,cossingleton,0,,NEG,181.0,30,,,,,,,,,,,,,,,,,,,,,340619.9575
