Index,node_1,node_2,matched_peaks,total_peaks,matching_score,rt_gap,mz_gap,status,status_universal,Fragnotation,Adnotation,All_annotations,ion_mode,cosine_score
183,404,32,3.0,27.0,0.11,-0.439,46.0062,neg_frag_edge,frag_edge,HCOOH,,HCOOH,NEG,0.0
184,429,242,2.0,0.0,0.0,522.739,13.8871,neg_singcos_edge,singcos_edge,,,0.78,NEG,0.78
185,429,290,2.0,0.0,0.0,117.778,27.9032,neg_singcos_edge,singcos_edge,,,0.81,NEG,0.81
186,429,287,2.0,0.0,0.0,166.509,28.1599,neg_singcos_edge,singcos_edge,,,0.67,NEG,0.67
187,434,403,0.0,0.0,0.0,-0.976,46.0065,neg_cos_edge,cos_edge,,,0.95,NEG,0.95
188,492,277,2.0,0.0,0.0,526.873,15.9776,neg_singcos_edge,singcos_edge,,,0.97,NEG,0.97
189,492,264,0.0,0.0,0.0,2.719,-67.9881,neg_cos_edge,cos_edge,,,0.83,NEG,0.83
190,501,61,3.0,0.0,0.0,29.408,0.9842,neg_singcos_edge,singcos_edge,,,0.92,NEG,0.92
191,501,524,3.0,0.0,0.0,22.222,14.0156,neg_singcos_edge,singcos_edge,,,0.99,NEG,0.99
192,518,196,0.0,0.0,0.0,-5.76,46.0062,neg_cos_edge,cos_edge,,,0.93,NEG,0.93
193,518,286,2.0,0.0,0.0,23.85,72.0374,neg_singcos_edge,singcos_edge,,,0.94,NEG,0.94
194,536,251,3.0,0.0,0.0,18.585,0.0006,neg_singcos_edge,singcos_edge,,,0.9,NEG,0.9
195,538,538,0.0,0.0,0.0,0.0,0.0,neg_self_edge,self_edge,,,,NEG,0.0
196,563,579,18.0,56.0,0.32,-0.502,41.0265,pos_frag_edge,frag_edge,,,41.0265,POS,0.0
197,563,911,5.0,35.0,0.14,-0.696,44.9976,pos_frag_edge,frag_edge,,,44.9976,POS,0.0
198,564,1041,19.0,0.0,0.0,7.251,134.0207,pos_singcos_edge,singcos_edge,,,0.87,POS,0.87
199,564,1139,12.0,0.0,0.0,63.104,58.0228,pos_singcos_edge,singcos_edge,,,0.94,POS,0.94
200,564,637,14.0,0.0,0.0,26.122,75.9984,pos_singcos_edge,singcos_edge,,,0.94,POS,0.94
201,564,696,9.0,0.0,0.0,3.533,104.0656,pos_singcos_edge,singcos_edge,,,0.71,POS,0.71
202,565,955,3.0,28.0,0.11,0.121,76.0082,pos_frag_edge,frag_edge,,,76.0082,POS,0.0
203,566,1348,24.0,0.0,0.0,0.96,1.9991,pos_singcos_edge,singcos_edge,,,0.93,POS,0.93
204,568,911,0.0,0.0,0.0,-0.321,41.0267,pos_cos_edge,cos_edge,,,0.96,POS,0.96
205,568,911,7.0,20.0,0.35,-0.321,41.0267,pos_frag_edge,frag_edge,,,41.0267,POS,0.0
206,574,567,9.0,50.0,0.18,-4.901,0.1515,pos_frag_edge,frag_edge,,,0.1515,POS,0.0
207,575,595,6.0,0.0,0.0,19.586,118.0824,pos_singcos_edge,singcos_edge,,,0.62,POS,0.62
208,576,576,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
209,577,565,5.0,0.0,0.0,0.384,3.9938,pos_singcos_edge,cosine_edge,,,0.99,POS,0.99
210,577,970,2.0,0.0,0.0,0.742,27.0488,pos_singcos_edge,cosine_edge,,,0.96,POS,0.96
211,577,932,2.0,0.0,0.0,0.842,41.0645,pos_singcos_edge,cosine_edge,,,0.97,POS,0.97
212,577,604,3.0,0.0,0.0,98.264,147.9241,pos_singcos_edge,cosine_edge,,,0.85,POS,0.85
213,579,911,7.0,53.0,0.13,-0.194,3.9711,pos_frag_edge,frag_edge,,,3.9711,POS,0.0
214,580,580,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
215,586,586,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
216,589,810,26.0,0.0,0.0,10.902,13.9791,pos_singcos_edge,singcos_edge,,,0.66,POS,0.66
217,591,803,5.0,0.0,0.0,287.05,153.076,pos_singcos_edge,cosine_edge,,,0.65,POS,0.65
218,591,795,5.0,0.0,0.0,319.801,139.0598,pos_singcos_edge,cosine_edge,,,0.71,POS,0.71
219,593,1434,20.0,0.0,0.0,22.603,90.0507,pos_singcos_edge,singcos_edge,,,0.95,POS,0.95
220,593,1469,22.0,0.0,0.0,34.205,18.0109,pos_singcos_edge,singcos_edge,,,0.95,POS,0.95
221,593,630,15.0,0.0,0.0,20.533,0.0022,pos_singcos_edge,singcos_edge,,,0.93,POS,0.93
222,598,598,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
223,604,565,3.0,0.0,0.0,98.648,143.9303,pos_singcos_edge,cosine_edge,,,0.85,POS,0.85
224,609,609,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
225,611,611,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
226,612,760,9.0,0.0,0.0,39.482,12.0,pos_singcos_edge,singcos_edge,,,0.67,POS,0.67
227,612,767,8.0,59.0,0.14,2.865,53.0477,pos_frag_edge,frag_edge,,,53.0477,POS,0.0
228,612,848,25.0,0.0,0.0,21.743,14.0159,pos_singcos_edge,singcos_edge,,,0.69,POS,0.69
229,613,837,7.0,0.0,0.0,17.79,0.0001,pos_singcos_edge,singcos_edge,,,1.0,POS,1.0
230,613,688,0.0,0.0,0.0,0.169,-17.0265,pos_cos_edge,cos_edge,,,0.97,POS,0.97
231,617,701,7.0,0.0,0.0,42.782,28.0312,pos_singcos_edge,cosine_edge,,,0.88,POS,0.88
232,620,1130,10.0,0.0,0.0,122.652,266.2619,pos_singcos_edge,cosine_edge,,,0.65,POS,0.65
233,620,649,5.0,0.0,0.0,26.17,28.0317,pos_singcos_edge,cosine_edge,,,0.99,POS,0.99
234,620,1140,4.0,0.0,0.0,113.334,238.2302,pos_singcos_edge,cosine_edge,,,0.85,POS,0.85
235,629,660,12.0,0.0,0.0,91.715,135.0181,pos_singcos_edge,singcos_edge,,,0.84,POS,0.84
236,629,1142,0.0,0.0,0.0,-0.002,-17.0267,pos_cos_edge,cos_edge,,,0.99,POS,0.99
237,629,1208,8.0,41.0,0.2,-5.395,92.0294,pos_frag_edge,frag_edge,,,92.0294,POS,0.0
238,632,855,5.0,34.0,0.15,-1.14,46.0055,pos_frag_edge,frag_edge,HCOOH,,HCOOH,POS,0.0
239,633,633,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
240,635,635,0.0,0.0,0.0,0.0,0.0,pos_self_edge,self_edge,,,,POS,0.0
