feature_id,row m/z,rtinseconds,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
209,258.9160101,8.878556061,0.0,4617768.916,0.0,0.0,0.0,0.0
210,145.92974850000002,8.955145833,0.0,2268306.736,0.0,0.0,0.0,0.0
211,1025.164299,7.400696875,0.0,3032377.664,992326.1881,0.0,0.0,0.0
212,312.8368378,7.163391667000001,0.0,2246305.063,0.0,0.0,0.0,0.0
213,567.0883382000001,7.178727778,0.0,1181935.1909999999,0.0,186966.8331,355893.3067,0.0
214,328.81047060000003,7.398964286,0.0,2888937.2989999996,0.0,0.0,0.0,0.0
215,125.927664,7.411861111,0.0,2455173.9,0.0,0.0,0.0,0.0
216,211.0078735,7.3772583329999994,0.0,2060989.8380000002,0.0,0.0,0.0,0.0
217,258.9156254,8.895688095,0.0,3099843.664,0.0,0.0,0.0,0.0
218,435.2374318,4.582716667,0.0,1307086.832,115912.1411,0.0,0.0,0.0
219,228.99395090000002,8.368031034,0.0,2610574.926,0.0,2201642.065,0.0,0.0
220,212.91014669999998,7.394033332999999,0.0,2541342.421,1194459.406,0.0,0.0,0.0
221,265.1476898,4.439702941,0.0,1982128.128,1829601.246,1708238.491,0.0,1808387.17
222,180.9719238,7.2908166670000005,0.0,1566299.4630000002,0.0,0.0,0.0,0.0
223,440.2649918000001,4.590716667,0.0,779114.8345,0.0,0.0,0.0,0.0
224,383.19046529999997,7.3193,0.0,1331141.1509999998,0.0,0.0,0.0,0.0
225,467.17444860000006,4.611894444,0.0,612164.3592,0.0,0.0,0.0,0.0
226,215.16488999999999,4.114525556,0.0,625561.0254,1176269.6809999999,0.0,0.0,384935.8227
227,450.21249689999996,4.675393333,0.0,270312.7706,0.0,0.0,0.0,0.0
228,433.2222421,4.58187381,0.0,233598.2244,0.0,0.0,0.0,0.0
229,438.2510779,4.675290476,0.0,202147.9314,0.0,0.0,0.0,0.0
230,497.207784,4.613422222,0.0,154003.5641,0.0,0.0,0.0,0.0
231,409.3127577,6.964688889,0.0,334027.5302,0.0,0.0,0.0,0.0
232,503.2248535,4.544741667,0.0,160700.1104,0.0,0.0,0.0,0.0
233,323.2589264,4.613158333,0.0,104738.56800000001,0.0,0.0,0.0,0.0
234,479.27779639999994,4.6220666669999995,0.0,130755.8385,0.0,0.0,0.0,0.0
235,457.18691900000005,4.623974359,0.0,156760.6636,0.0,0.0,0.0,404899.1875
236,269.0455208,3.747,0.0,87843.6393,0.0,0.0,0.0,0.0
237,370.2572937,4.584158333,0.0,57356.01692,0.0,0.0,0.0,0.0
238,200.9240367,7.302988889,0.0,94536.98878,0.0,0.0,0.0,0.0
239,465.1594943,4.682120513,0.0,57924.95125,0.0,0.0,0.0,0.0
240,397.26010130000003,5.175233333,0.0,65077.96366,0.0,0.0,0.0,0.0
241,235.9254761,8.908275,0.0,0.0,35329824.55,0.0,0.0,0.0
242,212.9101902,8.413475926,0.0,0.0,2722505.205,1871724.1709999999,0.0,2114684.316
243,192.9976357,5.666791667000001,0.0,0.0,9134710.206,0.0,1145994.883,0.0
244,559.3092651000001,6.173316667000001,0.0,0.0,7413781.557999999,0.0,0.0,0.0
245,505.3898315,6.16495,0.0,0.0,4212342.402,0.0,0.0,0.0
246,146.93742369999998,0.035041667,0.0,0.0,5871503.572000001,8732151.626,0.0,0.0
247,184.9286957,8.381972222,0.0,0.0,2925644.555,0.0,0.0,0.0
248,471.3489736,5.55565,0.0,0.0,1992815.669,0.0,0.0,0.0
249,320.8861923,8.919975,0.0,0.0,4827010.217,0.0,0.0,0.0
250,367.2486954,5.873691667,0.0,0.0,2874454.58,0.0,245065.9631,0.0
251,248.9606628,6.24595,0.0,0.0,4442758.267,0.0,0.0,0.0
252,316.9485626,5.65773,0.0,0.0,4031160.584,0.0,0.0,0.0
253,339.2004878,6.100977778,0.0,0.0,3396374.778,0.0,0.0,0.0
254,134.89363480000003,5.929779167,0.0,0.0,3469731.827,0.0,0.0,0.0
255,132.92262879999998,5.972213332999999,0.0,0.0,2544607.344,0.0,0.0,0.0
256,178.97674030000002,0.079985,0.0,0.0,2675759.97,0.0,0.0,2644450.525
257,281.24909060000005,6.34835,0.0,0.0,1035626.6190000001,0.0,0.0,0.0
258,325.185791,6.14475,0.0,0.0,1674488.493,0.0,0.0,0.0
259,242.943552,4.096345833,0.0,0.0,1301177.568,0.0,0.0,0.0
260,875.1469376,7.489558333,0.0,0.0,826243.3869,0.0,0.0,0.0
261,313.0784878,8.256340741,0.0,0.0,494844.3904,0.0,0.0,0.0
262,151.03894350000002,8.949810000000001,0.0,0.0,938434.5522,0.0,0.0,655714.5669
263,173.0811157,4.972276667,0.0,0.0,719662.4191,0.0,0.0,0.0
264,457.31769749999995,6.112802082999999,0.0,0.0,470951.4049,0.0,0.0,0.0
265,365.2331848,6.358525,0.0,0.0,478975.6027,0.0,0.0,0.0
266,165.039753,8.233902381,0.0,0.0,363403.6031,433977.6685,0.0,399228.3769
267,243.15965649999998,4.685125,0.0,0.0,402204.8313,0.0,4254529.531,0.0
268,467.1739883,6.340041667,0.0,0.0,124985.4982,0.0,0.0,0.0
269,315.1814423,4.656108333,0.0,0.0,170551.9519,0.0,1089363.355,0.0
270,463.1519737,6.287314583,0.0,0.0,139880.7246,82114.25251,0.0,314975.3826
271,179.03450880000003,8.929395238,0.0,0.0,260738.43,0.0,0.0,0.0
272,195.0643489,1.35132963,0.0,0.0,150843.4408,0.0,0.0,479153.7855
273,293.1770355,3.510203333,0.0,0.0,145861.9035,0.0,0.0,0.0
274,275.168906,4.667152632,0.0,0.0,70669.4613,0.0,0.0,38837.55569
275,195.0652771,2.6804,0.0,0.0,0.0,356293538.4,0.0,0.0
276,181.0499708,2.0119777780000003,0.0,0.0,0.0,175649959.7,0.0,0.0
277,197.80715940000002,8.453271428999999,0.0,0.0,0.0,37306373.35,0.0,34758621.64
278,593.1212768999999,7.467116667000001,0.0,0.0,0.0,107058320.9,0.0,0.0
279,195.8102283,8.453070833,0.0,0.0,0.0,30452995.05,0.0,28278359.72
280,199.80416330000003,8.452488095,0.0,0.0,0.0,18094447.01,0.0,16750770.75
281,683.1719055,7.467116667000001,0.0,0.0,0.0,50878059.17,0.0,0.0
282,743.1389465,7.626283333,0.0,0.0,0.0,78500611.61,0.0,0.0
283,729.1778259,7.443683332999999,0.0,0.0,0.0,49367798.44,0.0,0.0
284,743.1391907000001,7.301741667000001,0.0,0.0,0.0,38993672.74,0.0,0.0
285,306.948143,2.931933333,0.0,0.0,0.0,42997107.85,0.0,0.0
286,235.925471,8.527644444,0.0,0.0,0.0,102187320.9,0.0,110675668.2
287,507.12143449999996,6.158505556000001,0.0,0.0,0.0,27123822.0,0.0,0.0
288,205.8390369,8.453475,0.0,0.0,0.0,14774168.92,0.0,15261666.22
289,207.836049,8.453376922999999,0.0,0.0,0.0,13770173.43,0.0,14637714.73
290,207.93087340000002,8.868833333,0.0,0.0,0.0,69968572.6,0.0,0.0
291,190.927447,8.543027777999999,0.0,0.0,0.0,70343491.06,0.0,74517877.74
292,215.8678963,8.474225,0.0,0.0,0.0,10573753.08,0.0,0.0
293,307.855835,8.561016667,0.0,0.0,0.0,44371209.42,0.0,0.0
294,461.11564639999995,6.160158332999999,0.0,0.0,0.0,11160028.3,0.0,0.0
295,789.1441854,7.42665,0.0,0.0,0.0,8013658.153,0.0,0.0
296,146.937383,8.543027777999999,0.0,0.0,0.0,48178649.62,0.0,49889556.07
297,225.896698,8.479916667000001,0.0,0.0,0.0,16244020.48,0.0,0.0
