row ID,row m/z,row retention time,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
258,165.0911952,4.258415556,743715.3912,656096.0824,631688.3437,664733.6612,0.0,0.0
259,326.2537289,1.983538542,757567.7236,767034.7306,757945.2778,752603.4946,0.0,720117.6841
260,332.33130780000005,4.580712745,548883.6843,621606.4885,591204.9293,565344.5023,0.0,0.0
262,600.4685043,5.346314035,622888.6674,485650.0892,512362.9529,670822.7429,0.0,0.0
263,337.10494520000003,3.931585417,1010243.796,805950.4949,860443.5842,1820241.355,0.0,0.0
264,848.2727187999999,7.275443332999999,0.0,823120.9703,0.0,0.0,0.0,0.0
265,281.0511802,7.631613095,0.0,674925.8667,0.0,0.0,0.0,0.0
267,1012.304325,8.156714912,4738770.839,749603.7275,0.0,0.0,0.0,0.0
269,503.4104055,6.693016667,0.0,579311.6351,0.0,0.0,0.0,0.0
271,274.2376607,2.014244444,307640.6402,381938.2152,386109.8098,313839.7611,0.0,0.0
272,947.286109,8.414045833,0.0,287536.4445,0.0,0.0,0.0,0.0
273,198.185476,3.744883333,0.0,592707.5486,0.0,437619.106,0.0,0.0
275,427.3191742,4.56808,0.0,349678.093,0.0,0.0,0.0,0.0
276,808.2203812999999,7.007630302999999,0.0,389652.6217,0.0,0.0,0.0,0.0
280,434.1697931,4.888782292,204074.8548,253891.7527,155080.1708,166079.7626,0.0,0.0
281,670.1885109,8.153927083,397127.1723,272746.9709,398168.4902,98660.10334,4697729.06,1015467.882
282,149.023512,3.222901282,0.0,573945.9344,574500.9722,0.0,276486.9127,441243.5523
284,282.27936980000004,5.849433333,0.0,453499.9875,418442.6722,433414.2565,0.0,0.0
286,593.1576772999999,6.655084615,0.0,148054.85199999998,0.0,0.0,0.0,0.0
287,325.2253963,4.397404762,268396.0948,281600.7442,254296.2046,461070.5541,0.0,0.0
288,427.068027,4.884544048,107182.8273,186387.1752,114845.2211,31633.566000000003,0.0,0.0
290,938.2854513,7.918798611000001,941643.1992,168332.8162,79357.56961,0.0,897187.7227,0.0
291,167.01302080000002,8.373188889,36998863.37,31713612.93,33382685.92,32492614.57,37465931.73,41601273.28
292,313.2365166,4.597894118,504051.7793,595229.3948,597762.9595,478783.1225,0.0,0.0
293,457.3040195,4.720783333,331549.0893,232474.569,242304.5241,555558.6602,0.0,0.0
294,940.2243379,7.276657018,0.0,54182.75218,0.0,0.0,0.0,0.0
295,878.2839266000001,7.931232352999999,2429456.181,168391.608,0.0,0.0,0.0,0.0
297,400.3074748,4.607227778,0.0,184301.5362,0.0,0.0,0.0,0.0
298,211.16942340000003,2.942466667,0.0,272057.7006,0.0,0.0,0.0,0.0
299,297.2421794,5.010457778,0.0,448044.699,494878.3104,577242.7828,0.0,0.0
